Feature,Importance
solexs_counts_roll_var_60s,0.1641073252146024
solexs_counts_roll_range_60s,0.1614787721335283
solexs_counts_roll_range_300s,0.11210588357264635
solexs_counts_roll_var_300s,0.09938348828990094
solexs_counts_lag_300s,0.09438938506459543
solexs_counts_ema_300s,0.08966915582664983
helios_counts_roll_var_300s,0.07580264550886591
hardness_ratio_czt_cdte_roll_mean_60s,0.04763923071581355
helios_counts_roll_max_300s,0.04301283821366566
solexs_counts_roll_cv_30s,0.03220597876794469
hardness_ratio_czt_solexs_roll_mean_60s,0.019483943617213374
helios_counts_roll_kurt_300s,0.018400744438603966
hardness_ratio_czt_solexs_roll_std_60s,0.008555100012291072
solexs_counts_ema_diff_60_300s,0.007863435941533705
helios_czt_counts_roll_cv_60s,0.0074945325724231435
helios_czt_counts_roll_mean_300s,0.005409908697787102
solexs_counts_roll_cv_300s,0.0018658887387007798
helios_czt_counts_roll_var_300s,0.0017102296571152972
helios_counts_roll_cv_300s,0.0012045352017858854
hardness_ratio_czt_cdte_roll_std_60s,0.0010440432853764852
hardness_ratio_roll_mean_60s,0.00101388363528157
helios_czt_counts_roll_cv_300s,0.0008760565571745661
elapsed_observation_fraction,0.0008621256869381237
helios_czt_counts_dist_max_300s,0.0008096124077293088
helios_czt_counts_roll_std_300s,0.0007361714746048171
helios_counts_roll_kurt_60s,0.0006735887757940807
helios_czt_corr_300s,0.0006051464671918075
helios_czt_counts_roll_kurt_300s,0.0005973716721214684
helios_counts_z_score_300s,0.0005190551762801364
helios_czt_counts_z_score_300s,0.0004799226758403842
