Experiment ID,Model Name,Accuracy,Precision,Recall,Macro F1,Balanced Accuracy,ROC-AUC,Training Time (s),Inference Time/Sample (s),Model Size (KB),Memory Usage (MB),Feature Count,Best Hyperparameters
experiment_001,RANDOM_FOREST,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0,{}
experiment_002,XGBOOST,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0,{}
experiment_005,RANDOM_FOREST,0.9991622574955908,0.9990846681922196,0.9672131147540983,,,0.9999330890829847,0.0,0.0,0.0,0.0,0,{}
experiment_006,XGBOOST,0.9988536155202822,0.9890958655156747,0.9645547186530793,,,0.9998534190386744,0.0,0.0,0.0,0.0,0,{}
experiment_009,RANDOM_FOREST,0.9991622574955908,0.9990846681922196,0.9672131147540983,,,0.9999330890829847,0.0,0.0,0.0,0.0,0,{}
experiment_010,XGBOOST,0.9988536155202822,0.9890958655156747,0.9645547186530793,,,0.9998534190386744,0.0,0.0,0.0,0.0,0,{}
experiment_013,RANDOM_FOREST,0.9991953262786596,0.9990859232175503,0.9685423128046079,,,0.9999738707096771,0.0,0.0,0.0,0.0,0,{}
experiment_014,XGBOOST,0.9988866843033509,0.9891107078039928,0.9658839167035889,,,0.9999222256690091,0.0,0.0,0.0,0.0,0,{}
experiment_017,RANDOM_FOREST,0.9996502057613169,0.9649276633055678,0.9751883030571555,,,0.9999662252757078,0.0,0.0,0.0,0.0,0,{}
experiment_018,XGBOOST,0.9996270576131687,0.9672566371681416,0.9685423128046079,,,0.9999769952244436,0.0,0.0,0.0,0.0,0,{}
experiment_021,RANDOM_FOREST,0.7782664609053498,0.5078099309437685,0.07149305555555556,,,0.7243026517413165,0.0,0.0,0.0,0.0,0,{}
experiment_022,XGBOOST,0.7744958847736626,0.44900079936051157,0.06501157407407407,,,0.7102669277914033,0.0,0.0,0.0,0.0,0,{}
experiment_025,RANDOM_FOREST,0.7410802469135802,0.3270713142967955,0.15616898148148148,0.5282564253911023,0.5321833664021164,0.5393182811236955,79.68139719963074,7.385279170770214e-07,7779.4775390625,1397.3203125,30,{}
experiment_026,XGBOOST,0.2838374485596708,0.155514099160508,0.501712962962963,0.2811754988911956,0.36165013227513226,0.31449418448706645,8.744677543640137,2.515285348695983e-07,427.666015625,107.00390625,30,{}
experiment_027,LIGHTGBM,0.38300154320987656,0.12557265874661527,0.29789351851851853,0.341655832783001,0.3526058201058201,0.30259960665754215,8.86645221710205,4.797070114700882e-07,350.45703125,170.7890625,30,{}
experiment_038,RANDOM_FOREST,0.22278292181069959,0.22233974655919625,0.9999421296296296,0.18263181103353476,0.5003397817460318,0.5199712636868019,117.33172655105591,4.680538128432913e-06,67138.8916015625,1352.609375,30,{}
experiment_039,XGBOOST,0.2222222222222222,0.2222222222222222,1.0,0.18181818181818182,0.5,0.47909744247026875,3.931793451309204,6.773773534798328e-08,67.330078125,299.36328125,30,{}
experiment_041,RANDOM_FOREST,0.22278292181069959,0.22233974655919625,0.9999421296296296,0.18263181103353476,0.5003397817460318,0.5199712636868019,114.19304299354553,8.069561342153039e-07,67138.9072265625,1030.05859375,30,{}
experiment_042,XGBOOST,0.2222222222222222,0.2222222222222222,1.0,0.18181818181818182,0.5,0.47909744247026875,2.5499322414398193,5.180023825217667e-08,67.330078125,17.09375,30,{}
experiment_043,LIGHTGBM,0.5243595679012346,0.18062533629815952,0.3224768518518519,0.4435725108992491,0.4522585978835979,0.455280226417824,1.9593498706817627,4.8835336426158013e-08,17.732421875,34.87890625,30,{}
experiment_044,CATBOOST,0.2222222222222222,0.2222222222222222,1.0,0.18181818181818182,0.5,0.3841894499865275,4.142501592636108,9.073090160825125e-08,3434.7646484375,423.14453125,30,{}
experiment_053,RANDOM_FOREST,0.9996656378600823,0.9568965517241379,0.9866666666666667,0.9856927205460022,0.9932039839606779,0.9999822935080988,7.834484100341797,1.1914919433279784e-06,3321.8759765625,186.28125,30,{}
