Feature,RANDOM_FOREST_importance,XGBOOST_importance,LIGHTGBM_importance,CATBOOST_importance,Average_importance
helios_czt_counts_roll_cv_300s,0.0751367878475011,0.10511824,0,26.348835022954763,6.632272512700566
helios_czt_counts_roll_mean_300s,0.0526151096684866,0.055659387,4,13.677421559144454,4.446424013953235
solexs_counts_ema_300s,0.0535154554624281,0.041810106,5,10.993359919464412,4.02217137023171
helios_czt_counts_roll_std_300s,0.0319011750038131,0.01938319,3,12.513603797688033,3.8912220406729614
elapsed_observation_fraction,0.0707673380097931,0.009818766,13,0.550412886586745,3.4077497476491345
hardness_ratio_czt_solexs_roll_mean_60s,0.0351605735115635,0.07298489,1,12.314127758059158,3.3555683053926804
hardness_ratio_czt_solexs_roll_std_60s,0.0555569031192005,0.038603015,4,9.138162624506664,3.3080806356564665
helios_czt_counts_roll_var_300s,0.0419029070266505,0.013948327,11,2.052647342266564,3.2771246440733037
hardness_ratio_czt_cdte_roll_std_60s,0.0492334938705154,0.25642198,6,5.719914559547386,3.0063925083544754
helios_counts_roll_cv_300s,0.0593782520615431,0.036213636,5,2.345962085239415,1.8603884933252397
solexs_counts_roll_cv_300s,0.0342498517301692,0.012503746,5,0.0,1.2616883994325423
helios_counts_roll_kurt_300s,0.0406593237025629,0.0041772043,5,0.0,1.2612091320006407
hardness_ratio_czt_cdte_roll_mean_60s,0.0669132497800596,0.0011118741,3,1.6953522614668235,1.1908443463367209
helios_czt_counts_roll_kurt_300s,0.036430365589783,0.048166327,4,0.0,1.0211491731474458
helios_czt_counts_z_score_300s,0.0218798721518084,0.037320912,3,0.0,0.7648001960379521
helios_czt_corr_300s,0.0247014323428253,0.005876193,3,0.0,0.7576444063357063
hardness_ratio_roll_mean_60s,0.0143410281982071,0.008289818,3,0.0,0.7556577115495517
helios_counts_roll_var_300s,0.0341493334629009,0.08432798,1,1.6282737216935772,0.6866877587891196
solexs_counts_roll_var_300s,0.0342163764752473,0.019637026,1,1.0219264613820085,0.5189449659643139
solexs_counts_lag_300s,0.026382699919374,0.015205281,2,0.0,0.5103969952298435
solexs_counts_roll_range_300s,0.0222561286531753,0.0037761885,2,0.0,0.5065080792882938
helios_counts_roll_max_300s,0.0209097691805062,0.0023130756,2,0.0,0.5058057111951265
solexs_counts_roll_cv_30s,0.0077986012782376,0.023687648,1,0.0,0.2578715623195594
solexs_counts_ema_diff_60_300s,0.0164122383692618,0.00978524,1,0.0,0.25654936959231545
helios_counts_roll_kurt_60s,0.0121717404492906,0.012879733,1,0.0,0.25626286836232265
helios_czt_counts_roll_cv_60s,0.0172128126093495,0.0018842515,1,0.0,0.2547742660273374
helios_counts_z_score_300s,0.0098949493676221,0.056702975,0,0.0,0.016649481091905526
solexs_counts_roll_var_60s,0.0198522445281877,0.0,0,0.0,0.004963061132046925
solexs_counts_roll_range_60s,0.0120576149644938,0.0023588357,0,0.0,0.0036041126661234503
helios_czt_counts_dist_max_300s,0.0023423716654413,3.4189525e-05,0,0.0,0.000594140297610325
